Features,test,p-Value
glycerol-alpha-phosphate,-0.6986665244082577,0.4867866008787307
hexuronic acid,0.7228097700502757,0.4719046497164364
hippuric acid,-1.3934692423186263,0.16733735541219422
histidine,0.48136741634195107,0.6315694809881804
hydroxycarbamate NIST,0.49628987465121976,0.6210507860060721
hydroxylamine,1.002525248352865,0.3191127296754256
hypoxanthine,2.1727662441955546,0.03275715041279468
indole-3-acetate,-0.7432472161697289,0.45950918696180665
indole-3-lactate,-0.9353185233140555,0.35243895703158545
isoleucine,0.7414607313343532,0.4605852414445051
isothreonic acid,1.80139573351682,0.07540830542801871
lactamide,1.6317169207078175,0.10666971625744472
lauric acid,0.32372471879297554,0.7469912381228565
levoglucosan,0.10681521872900573,0.9152029838390981
linoleic acid,-0.501042675169394,0.6177169483298006
lyxitol,0.735723212460033,0.464050817213123
maltose,0.7964636837292937,0.42811984405778447
maltotriose,1.572241745716514,0.11984135820037145
mannitol,-0.5233260877117489,0.6021939551836366
mannose,0.10927639949213774,0.9132569074897743
methanolphosphate,-0.5793320982137968,0.5639929328154369
methionine,-0.030611751796235778,0.9756554114668639
methionine sulfoxide,-1.3730421937736688,0.17357564057777317
myo-inositol,0.3444019938762543,0.7314476876638609
myristic acid,-1.2736406638825513,0.2064788794080939
N-acetyl-5-hydroxytryptamine,0.9045744255680225,0.36840695785597555
N-acetylglycine NIST,-1.0512421707593989,0.2963125119871593
N-acetylornithine,-1.8667758577891587,0.06559656946489299
naproxen,-1.7263310158409377,0.08814796118438725
nicotinic acid,-0.6029041414877578,0.5482778456616318
nornicotine,-2.0839804677907523,0.04035353942466081
octadecanol,-1.6930384489596146,0.09433909277124622
oleic acid,0.1917443275681475,0.8484283317846221
oxalic acid,0.963070824478402,0.3384140751797301
oxoproline,0.9092716396187384,0.365938030509978
palmitic acid,-0.5099989361807474,0.6114564020544966
palmitoleic acid,0.5384252084538639,0.5917785261527566
parabanic acid NIST,-1.5337327639199083,0.12904083127342933
p-cresol,-1.6017547596316704,0.11315141393467205
pelargonic acid,0.6173448436898116,0.5387605221044407
phenylethylamine,-1.523924464879736,0.1314711130552991
phosphoethanolamine,0.21343419047158718,0.831531310530029
pipecolinic acid,-0.9139828208233299,0.36347235379430876
piperidone,-0.9082081734710757,0.366496081389869
pseudo uridine,0.9279093162011791,0.3562457858686645
pyrophosphate,1.7682109475094516,0.0808379920150486
pyrrole-2-carboxylic acid,-0.3376580332968848,0.7365053002726961
pyruvic acid,1.3287513366126324,0.18770767133357977
quinic acid,-2.485959861423378,0.015003486585642685
ribose,0.5633891499971309,0.5747456957321089
salicylaldehyde,0.6291657252354655,0.5310331231030234
salicylic acid,1.225781266891284,0.2238772371929684
serine,2.1536500743610296,0.03427817680535147
shikimic acid,1.737528304640856,0.08614223845434447
stearic acid,-0.7186120026945544,0.4744736778958122
sucrose,0.4980584269893679,0.6198093088543833
tartaric acid,-0.6552286944081557,0.5142002627923505
threitol,0.9185205596247755,0.3611074877205602
threonic acid,-0.5121670274515131,0.6099451919355958
tocopherol alpha-,-2.011469324705326,0.047643152388452355
tocopherol gamma-,-0.7688886589289731,0.4442234644248567
trans-4-hydroxyproline,1.3270721598856476,0.18825999990590686
tyrosine,-0.39811165571156343,0.6916083315112727
UDP-glucuronic acid,-0.9688438361036694,0.3355431264331439
uridine,0.6494214506921704,0.5179262667928155
xylitol,-1.184822892348784,0.23959537185418964
xylose,0.07438450821276225,0.9408901196347539
2-deoxytetronic acid,3.187559934880035,0.07420069051339666
asparagine,0.4646482424466287,0.49545958552761493
beta-alanine,3.4752358143050457,0.06229384272633457
citric acid,0.8686954838987049,0.3513167071324962
conduritol-beta-epoxide,0.22375862901226945,0.6361908348983516
glycine,0.43969094701230915,0.5072716597928888
hexitol,4.851403474308991,0.02762364710504946
indoxyl sulfate,0.010407792517382636,0.9187419201162346
isocitric acid,0.026346625202418397,0.8710566727235235
proline,0.2649240626993503,0.6067572605224711
propane-1_3-diol NIST,1.7465432686717255,0.18631188242111868
